epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,24393.9,0.98,0.414,1.03428,0.84985,0.8042,0.8482,0.47024,1.37131,0.6657,1.08452,0.001585,0.001585,0.001585
87,24658,0.9761,0.41316,1.03228,0.84916,0.80527,0.84877,0.47098,1.37064,0.66523,1.08465,0.001486,0.001486,0.001486
88,24926.2,0.97604,0.41137,1.0321,0.84848,0.80674,0.8497,0.47046,1.37022,0.66551,1.08408,0.001387,0.001387,0.001387
89,25191.5,0.97342,0.40981,1.03188,0.84704,0.80616,0.84912,0.47052,1.37006,0.66503,1.08305,0.001288,0.001288,0.001288
90,25462.1,0.96355,0.40208,1.02695,0.85313,0.80505,0.84904,0.47129,1.36945,0.66564,1.08279,0.001189,0.001189,0.001189
91,25761.3,0.94754,0.36219,1.04527,0.85434,0.8042,0.84996,0.47177,1.36842,0.66551,1.08177,0.00109,0.00109,0.00109
92,26022.2,0.93539,0.35715,1.03844,0.85168,0.80311,0.8495,0.47219,1.36835,0.66542,1.08122,0.000991,0.000991,0.000991
93,26287.1,0.92588,0.35407,1.03395,0.85026,0.8042,0.84892,0.47265,1.36746,0.66529,1.08081,0.000892,0.000892,0.000892
94,26554.1,0.924,0.35145,1.03352,0.85071,0.80547,0.85188,0.47354,1.36738,0.66596,1.08051,0.000793,0.000793,0.000793
95,26813.5,0.92158,0.34944,1.03165,0.85246,0.80441,0.85098,0.47367,1.36716,0.66524,1.08049,0.000694,0.000694,0.000694
96,27078.2,0.91074,0.34523,1.0257,0.85417,0.80432,0.85122,0.47408,1.3666,0.66472,1.07998,0.000595,0.000595,0.000595
97,27347.9,0.90946,0.34447,1.02387,0.85567,0.799,0.85136,0.47411,1.36673,0.66483,1.07964,0.000496,0.000496,0.000496
98,27627.3,0.90396,0.34277,1.02282,0.85627,0.79847,0.85069,0.47496,1.36663,0.66526,1.07908,0.000397,0.000397,0.000397
99,27907.3,0.89826,0.34001,1.02095,0.8583,0.79847,0.85083,0.47476,1.36712,0.66504,1.07863,0.000298,0.000298,0.000298
100,28177.9,0.89585,0.33768,1.01871,0.85841,0.79847,0.85076,0.47444,1.36732,0.66474,1.07874,0.000199,0.000199,0.000199
